11,13
13,21
3,-1
21,-1
9,13
11,13
13,21
3,-1
21,-1
265,9923
4196,9923
5170,5446
5446,5608
2187,4908
4908,7955
5608,7955
6494,7955
553,9799
3736,9799
7955,9799
1261,6147
6147,9612
3139,6010
5966,6010
6010,6830
2756,8555
3944,8555
6830,8555
5632,6785
757,2010
2010,9700
2611,9700
3728,9700
6785,9700
8555,9700
9612,9700
6295,9396
91,6982
188,6571
6571,7525
6982,7525
692,8963
7525,8963
321,3350
2999,3350
3350,4815
1359,7580
4815,7580
1577,2835
1930,2835
732,4704
2835,4704
2660,3375
3375,6325
4704,6325
2629,2698
2698,8835
6325,8835
7580,8835
5154,5327
3207,3637
2078,2483
1313,4123
2483,4123
3637,4123
4123,6752
5327,6752
5811,7750
6752,7750
5448,9293
7750,9293
8835,9293
8963,9293
1307,2097
2097,3562
3562,9323
5393,9323
9293,9323
3751,3961
3961,6447
4873,6447
1073,6377
1250,6377
6377,8574
6447,8574
870,2503
1000,2503
2503,5064
5064,9956
8574,9956
8884,9956
9323,9956
9396,9956
9700,9956
9799,9956
9923,9956
6759,8836
8589,8836
7146,9632
8836,9632
365,9939
9632,9939
599,3759
2161,6767
3759,6767
6767,7407
7407,-1
9939,-1
9956,-1
716,5201
1895,7974
2334,7974
5201,7974
7376,9161
7974,9161
6112,7417
2469,6844
6844,9739
7417,9739
9161,9739
9248,9739
3441,7720
3167,4507
4507,6834
1623,2292
2267,2292
759,8012
2292,8012
6834,8012
7720,8012
3809,9904
6915,9904
8012,9904
9739,9904
4079,4838
1522,4420
4420,9205
4838,9205
9131,9205
6037,9537
9205,9537
2620,9695
9537,9695
453,2543
2543,5719
5719,7339
2362,4943
2369,4943
4943,5269
2641,8265
5269,8265
7339,8265
8265,8440
2230,8296
3175,8296
8296,9264
8440,9264
3955,6676
2467,2732
2732,3234
3234,4870
4384,8471
4754,8471
4870,8471
6676,8471
4118,6081
6081,9909
8471,9909
9264,9909
9695,9909
9904,9909
297,3960
971,3960
465,6142
3960,6142
6142,9395
1426,8553
5555,9228
8553,9228
